Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
novitec-tailpipes-black-2pcs-purosangue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-02at23.37.57.png,2,Tailpipes Stainless Steel (2-Piece Set) - Ferrari Purosangue - F1 666 17/ 18 - Novitec,,
novitec-tailpipes-black-2pcs-purosangue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-02at23.38.26.png,3,Tailpipes Stainless Steel (2-Piece Set) - Ferrari Purosangue - F1 666 17/ 18 - Novitec,,
novitec-ferrari-12cilindri-f1-012-70,Exhaust System with Flap Regulation - Ferrari 12Cilindri - F1 012 70/ 71/ 72 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC Power-Optimized Exhaust System with Flap Regulation</strong> for the Ferrari 12Cilindri is engineered to enhance performance while retaining the original factory tailpipes. Developed specifically for Ferrari’s naturally aspirated V12 engine, this system improves exhaust flow, reduces backpressure, and delivers a more dynamic exhaust note without altering the OEM exterior appearance.</p> <p>The integrated valve control allows adjustable sound characteristics, combining refined cruising comfort with an aggressive performance tone when desired.</p> <h4>Compatibility</h4> <p>Ferrari 12Cilindri<br>Designed for use with <strong>original factory tailpipes</strong></p> <h4>Key Features</h4> <ul> <li> <p>Power-optimized exhaust system</p> </li> <li> <p>Integrated flap regulation (valved system)</p> </li> <li> <p>Adjustable exhaust sound characteristics</p> </li> <li> <p>Improved exhaust flow and throttle response</p> </li> <li> <p>Retains original factory tailpipes</p> </li> <li> <p>Developed specifically for the Ferrari 12Cilindri</p> </li> <li> <p>Direct replacement using factory mounting points</p> </li> </ul> <h4>Available Versions</h4> <p><strong>Stainless Steel</strong></p> <ul> <li> <p>High-grade stainless steel construction</p> </li> <li> <p>Balanced performance and refined sound control</p> </li> </ul> <p><strong>INCONEL</strong></p> <ul> <li> <p>Lightweight high-performance alloy</p> </li> <li> <p>Reduced overall system weight</p> </li> <li> <p>Sharper, more performance-focused exhaust tone</p> </li> </ul> <p><strong>Gold-Plated INCONEL</strong></p> <ul> <li> <p>INCONEL construction with high-temperature heat protection</p> </li> <li> <p>Coated with 999 fine gold</p> </li> <li> <p>Maximum thermal efficiency</p> </li> <li> <p>Premium motorsport-inspired finish</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Exhaust System</p> </li> <",Novitec,Exhaust,"brand_novitec, car_ferrari, category_exhaust, condition_new, install_available, model_12cilindri, pricing_buy_now",TRUE,Variant,Stainless steel,F1 012 70,0,shopify,5,deny,manual,39900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-17at00.38.09.png,1,Exhaust System with Flap Regulation - Ferrari 12Cilindri - F1 012 70/ 71/ 72 - Novitec,FALSE,active
novitec-ferrari-12cilindri-f1-012-70,,,,,,,,Inconel,F1 012 71,0,shopify,6,deny,manual,48900.00,TRUE,TRUE,,,,,
novitec-ferrari-12cilindri-f1-012-70,,,,,,,,Inconel Gold 999,F1 012 72,0,shopify,5,deny,manual,64900.00,TRUE,TRUE,,,,,
novitec-ferrari-12cilindri-f1-012-70,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-18_at_13.57.21.png,2,Exhaust System with Flap Regulation - Ferrari 12Cilindri - F1 012 70/ 71/ 72 - Novitec,,
novitec-ferrari-812-f5-812-03,Sport Spring Set - Ferrari 812 Superfast & GTS - F5 812 03 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC Sport Spring Set</strong> for the <strong>Ferrari 812 Superfast and 812 GTS</strong> enhances handling dynamics while delivering a lower and more aggressive stance. Designed to operate in combination with the original factory suspension, the spring set lowers the vehicle to improve center of gravity, stability, and overall driving precision.</p> <p>The system is also compatible with vehicles equipped with the factory lift system, ensuring full functionality is retained while benefiting from a sportier setup.</p> <h4>Compatibility</h4> <p>Ferrari 812 <strong>Superfast</strong><br>Ferrari 812 <strong>GTS</strong></p> <p>Compatible with original factory suspension<br>Also suitable for vehicles equipped with factory lift system</p> <h4>Key Features</h4> <ul> <li> <p>Sport spring set for suspension lowering</p> </li> <li> <p>Designed for use with original factory suspension</p> </li> <li> <p>Compatible with factory lift-system</p> </li> <li> <p>Lowered ride height for enhanced stance</p> </li> <li> <p>Improved handling stability and reduced body roll</p> </li> <li> <p>Developed specifically for Ferrari 812 Superfast &amp; GTS</p> </li> <li> <p>Precision-engineered for OEM-level integration</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Product Type: Sport Spring Set</p> </li> <li> <p>Application: Lowering springs</p> </li> <li> <p>Suspension Compatibility: Original factory suspension (including factory lift-system)</p> </li> </ul> <h4>Installation</h4> <p>Professional installation and wheel alignment are strongly recommended.</p> <h4>Part Number</h4> <ul> <li> <p>F5 812 03</p> </li> </ul> <h4>Special Order</h4> <p>Lead time approximately <strong>4–6 weeks</strong></p>",Novitec,Suspension,"brand_novitec, car_ferrari, category_suspension, condition_new, install_available, model_812_gts, model_812_superfast, pricing_buy_now",TRUE,Title,Default Title,F5 812 03,0,shopify,1,deny,manual,5900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at18.57.26.png,1,Sport Spring Set - Ferrari 812 Superfast & GTS - F5 812 03 - Novitec,FALSE,active
novitec-ferrari-812-f5-812-03,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at19.02.16.png,2,Sport Spring Set - Ferrari 812 Superfast & GTS - F5 812 03 - Novitec,,
novitec-ferrari-812-f5-812-33,KW Variant 5 Coilover Suspension - Ferrari 812 Superfast & GTS - F5 812 33/ 39 - Novitec,"<h4>Description</h4> <p>The <strong>KW Variant 5 Coilover Suspension</strong> for the <strong>Ferrari 812 Superfast and 812 GTS</strong> delivers maximum performance adjustability for demanding drivers. Engineered for precision handling and track-focused performance, the system features fully adjustable 4-way dampers, allowing independent tuning of low- and high-speed compression as well as low- and high-speed rebound.</p> <p>With <strong>14 precise adjustment clicks (14 characteristic curves)</strong>, the KW Variant 5 suspension allows fine-tuning of vehicle dynamics for both road and track use, while maintaining exceptional stability and control.</p> <p>Available for vehicles with or without factory lift system.</p> <h4>Compatibility</h4> <p>Ferrari 812 <strong>Superfast (Coupé)</strong><br>Ferrari 812 <strong>GTS (Spider)</strong></p> <p>Available for:</p> <ul> <li> <p>Vehicles <strong>without factory lift system</strong></p> </li> <li> <p>Vehicles <strong>with factory lift system</strong></p> </li> </ul> <h4>Key Features</h4> <ul> <li> <p>KW Variant 5 coilover suspension system</p> </li> <li> <p>4-way adjustable dampers</p> </li> <li> <p>Low-speed compression adjustable</p> </li> <li> <p>High-speed compression adjustable</p> </li> <li> <p>Low-speed rebound adjustable</p> </li> <li> <p>High-speed rebound adjustable</p> </li> <li> <p>14 precise adjustment clicks (14 characteristic curves)</p> </li> <li> <p>Developed specifically for Ferrari 812 Superfast &amp; GTS</p> </li> <li> <p>Precision-engineered for maximum performance handling</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: KW Automotive</p> </li> <li> <p>Product Type: Coilover Suspension System</p> </li> <li> <p>Variant: KW Variant 5</p> </li> <li> <p>Adjustment: 4-way adjustable dampers</p> </li> <li> <p>Characteristic Curves: 14 defined adjustment clicks</p> </li> <li> <p>Application: Road and track performance</p> </li> </ul> <h4>Installation</h4> <p dat",Novitec,Suspension,"brand_novitec, car_ferrari, category_suspension, condition_new, install_available, model_812_gts, model_812_superfast, pricing_buy_now",TRUE,Variant,Without factory lifter,F5 812 33,0,shopify,1,deny,manual,48900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at20.20.33.png,1,KW Variant 5 Coilover Suspension - Ferrari 812 Superfast & GTS - F5 812 33/ 39 - Novitec,FALSE,active
novitec-ferrari-812-f5-812-33,,,,,,,,With factory lifter,F5 812 39,0,shopify,2,deny,manual,51900.00,TRUE,TRUE,,,,,
novitec-ferrari-812-f4-812-62,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari 812 Superfast & GTS - F4 812 62/ 60/61 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC NF10 Forged Aluminium Wheel Set – Central Lock LOOK</strong> for the <strong>Ferrari 812 Superfast and 812 GTS</strong> combines ultra-lightweight forged construction with an authentic motorsport-inspired center-lock design. Developed specifically for the 812 platform, the NF10 enhances steering precision, high-speed stability, and overall driving dynamics while delivering a bold and race-inspired appearance.</p> <p>The set includes a central cover available in <strong>black, red, or silver</strong>, allowing subtle customization while maintaining a clean and aggressive performance aesthetic.</p> <h4>Compatibility</h4> <p>Ferrari 812 <strong>Superfast</strong><br>Ferrari 812 <strong>GTS</strong></p> <h4>Key Features</h4> <ul> <li> <p>Forged aluminium wheel set NF10</p> </li> <li> <p>Central Lock LOOK design</p> </li> <li> <p>Includes central cover in black, red, or silver</p> </li> <li> <p>Lightweight forged construction</p> </li> <li> <p>Developed specifically for Ferrari 812 Superfast &amp; GTS</p> </li> <li> <p>Precision fitment for front and rear axles</p> </li> <li> <p>Enhanced handling, stability, and performance presence</p> </li> <li> <p>Available with or without tyres</p> </li> </ul> <h4>Wheel Specifications</h4> <p><strong>Front Axle</strong></p> <p>10.0J x 21""</p> <p><strong>Rear Axle</strong></p> <p>12.5J x 22""</p> <h4>Tyre Options</h4> <p><strong>With Tyres</strong></p> <ul> <li> <p>Front: 275/30 R21</p> </li> <li> <p>Rear: 335/25 R22</p> </li> </ul> <p><strong>Without Tyres</strong></p> <ul> <li> <p>Wheels supplied without tyres</p> </li> </ul> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Wheel Type: Forged Aluminium</p> </li> <li> <p>Model: NF10</p> </li> <li> <p>Design: Central Lock LOOK</p> </li> <li> <p>Center Cover Colors: Black, Red",Novitec,Wheels,"brand_novitec, car_ferrari, category_wheels, condition_new, install_available, model_812_gts, model_812_superfast, pricing_buy_now",TRUE,Variant,With Tyres,F4 812 62,0,shopify,2,deny,manual,69900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at20.21.42.png,1,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari 812 Superfast & GTS - F4 812 62/ 60/61 - Novitec,FALSE,active
novitec-ferrari-812-f4-812-62,,,,,,,,Without Tyres,F4 812 60/61,0,shopify,4,deny,manual,59900.00,TRUE,TRUE,,,,,
novitec-ferrari-812-f4-812-62,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at19.02.37.png,2,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari 812 Superfast & GTS - F4 812 62/ 60/61 - Novitec,,
novitec-ferrari-812-f4-812-62,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-15_at_11.42.44.png,3,NF10 Forged Aluminium Wheel Set with Central Lock - Ferrari 812 Superfast & GTS - F4 812 62/ 60/61 - Novitec,,
novitec-ferrari-812-f4-812-70,NF9 Forged Aluminium Wheel Set - Ferrari 812 Superfast & GTS - F4 812 70/ 00/01 - Novitec,"<h4>Description</h4> <p>The <strong>NOVITEC NF9 Forged Aluminium Wheel Set</strong> for the <strong>Ferrari 812 Superfast and 812 GTS </strong>combines lightweight forged construction with a dynamic, motorsport-inspired design. Developed specifically for the 812 platform, the NF9 wheels enhance steering precision, cornering stability, and high-speed performance while maintaining the refined yet aggressive character of the naturally aspirated V12.</p> <p>Manufactured using advanced forging technology, the wheels reduce unsprung mass and optimize overall driving dynamics without compromising strength or durability.</p> <h4>Compatibility</h4> <p>Ferrari 812 <strong>Superfast</strong><br>Ferrari 812 <strong>GTS</strong></p> <h4>Key Features</h4> <ul> <li> <p>Forged aluminium wheel set NF9</p> </li> <li> <p>Lightweight forged construction</p> </li> <li> <p>Developed specifically for Ferrari 812 Superfast &amp; GTS</p> </li> <li> <p>Precision fitment for front and rear axles</p> </li> <li> <p>Improved handling, agility, and stability</p> </li> <li> <p>Available with or without tyres</p> </li> </ul> <h4><br></h4> <h4>Wheel Specifications</h4> <p><strong>Front Axle</strong></p> <p>10.0J x 21""</p> <p><strong>Rear Axle</strong></p> <p>12.5J x 22""</p> <h4><br></h4> <h4>Tyre Options</h4> <p><strong>With Tyres</strong></p> <ul> <li> <p>Front: 275/30 R21</p> </li> <li> <p>Rear: 335/25 R22</p> </li> </ul> <p><strong>Without Tyres</strong></p> <ul> <li> <p>Wheels supplied without tyres</p> </li> </ul> <h4><br></h4> <h4>Technical Details</h4> <ul> <li> <p>Manufacturer: NOVITEC</p> </li> <li> <p>Wheel Type: Forged Aluminium</p> </li> <li> <p>Model: NF9</p> </li> <li> <p>Quantity: Complete wheel set (front and rear)</p> </li> </ul> <h4><br></h4> <h4>Installation</h4> <p>Professional installation and wheel alignment are strongly recommended.</p> <h4><br></h4> <h4>Part Numbers</h4> <p><strong>With Tyres</strong></p> <ul da",Novitec,Wheels,"brand_novitec, car_ferrari, category_wheels, condition_new, install_available, model_812_gts, model_812_superfast, pricing_buy_now",TRUE,Variant,With Tyres,F4 812 70,0,shopify,3,deny,manual,69900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at20.21.13.png,1,NF9 Forged Aluminium Wheel Set - Ferrari 812 Superfast & GTS - F4 812 70/ 00/01 - Novitec,FALSE,active
novitec-ferrari-812-f4-812-70,,,,,,,,Without Tyres,F4 812 00/01,0,shopify,1,deny,manual,59900.00,TRUE,TRUE,,,,,
novitec-ferrari-812-f4-812-70,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot2026-01-22at18.56.24.png,2,NF9 Forged Aluminium Wheel Set - Ferrari 812 Superfast & GTS - F4 812 70/ 00/01 - Novitec,,
novitec-ferrari-812-f4-812-70,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/Screenshot_2026-02-14_at_15.47.43.png,3,NF9 Forged Aluminium Wheel Set - Ferrari 812 Superfast & GTS - F4 812 70/ 00/01 - Novitec,,
mula-arts-koenigsegg-jesko-7336-1-8,Koenigsegg Jesko 1/8 - Swedish Flag Yellow,<p><strong>Collectibles</strong> — premium scale model for display and collection.</p> <ul> <li>Brand: Koenigsegg</li> <li>Model: Jesko 7336</li> <li>Scale: 1/8</li> <li>Color: Swedish flag yellow</li> </ul> <p><br></p>,Collectibles,Scale Model / Art Piece,"brand_collectibles, car_koenigsegg, category_collectibles, condition_new, install_available, pricing_buy_now",TRUE,Title,Default Title,R1 100 03,0,shopify,5,deny,manual,19900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/2cc1166e-3d63-49d9-9304-14e2864e4090.jpg,1,Koenigsegg Jesko 1/8 - Swedish Flag Yellow,FALSE,active
mula-arts-koenigsegg-jesko-7336-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/0ac85a4e-bbf8-498e-a4c1-a30455cb374f.jpg,2,Koenigsegg Jesko 1/8 - Swedish Flag Yellow,,
mula-arts-koenigsegg-jesko-7336-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/3a70fc05-66fa-49fc-a204-62e6cf6cc640.jpg,3,Koenigsegg Jesko 1/8 - Swedish Flag Yellow,,
mula-arts-koenigsegg-regera-1-8,Koenigsegg Regera 1/8 - Carbon Green,<p><strong>Collectibles</strong> — premium scale model for display and collection.</p> <ul> <li>Brand: Koenigsegg</li> <li>Model: Regera</li> <li>Scale: 1/8</li> <li>Color: Carbon Green Tinted</li> </ul> <p><br></p>,Collectibles,Scale Model / Art Piece,"brand_collectibles, car_koenigsegg, category_collectibles, condition_new, install_available, pricing_buy_now",TRUE,Title,Default Title,R1 100 02,0,shopify,3,deny,manual,19900.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/542ab394-9170-4a74-b67c-7883d1fa1d92.jpg,1,Koenigsegg Regera 1/8 - Carbon Green,FALSE,active
mula-arts-koenigsegg-regera-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/e8b8d13f-f1ee-4676-a266-dcb2da1a8002.jpg,2,Koenigsegg Regera 1/8 - Carbon Green,,
mula-arts-koenigsegg-regera-1-8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/4472/0949/files/e8a0f877-bad7-425e-8abb-065719af56a2.jpg,3,Koenigsegg Regera 1/8 - Carbon Green,,
